7,21296,0,-0.0193451,0.997614,-0.00749043,0.0658428
7,21296,1,-0.019204,0.998657,-0.00784515,0.0474734
7,21296,2,-0.022475,0.99841,-0.0426702,0.0291704
7,21296,3,0,0,0,0
7,21297,4,0.800939,-0.596969,0.0446216,-0.0115587
7,21297,5,0.875081,-0.0696874,-0.473512,-0.0718522
7,21297,6,0.714541,-0.112186,0.684976,-0.0874875
7,21297,7,0.715899,-0.0256361,0.69611,-0.0475595
7,21297,8,0.813955,0.580379,0.00339463,0.025003
7,21297,9,0.839665,0.109166,0.529619,-0.05049
7,21297,10,0.713164,0.127749,-0.685054,-0.0760107
7,21297,11,-0.699527,-0.0161067,0.709381,0.084747
7,21297,12,0.691456,-0.670187,0.191988,-0.189416
7,21297,13,0.750515,-0.0334734,-0.658402,-0.0459758
7,21297,14,-0.660512,0.058644,0.745805,-0.0637166
7,21554,15,0,0,0,0
7,21554,16,0.701398,0.691467,-0.132871,-0.110728
7,21554,17,0.655383,0.0336865,0.754451,-0.0118831
7,21554,18,0.607487,0.0319981,0.790734,0.0683844
7,21554,19,0,0,0,0
7,21554,20,-0.0216919,0.99894,-0.0216409,0.0343445
7,21554,21,0,0,0,0
7,21554,22,0,0,0,0
7,21554,23,0,0,0,0
7,21554,24,0,0,0,0
8,22280,0,-0.0204366,0.998064,0.00197746,0.0587055
8,22280,1,-0.0204744,0.999094,0.00153862,0.0372827
8,22280,2,-0.0233036,0.999066,-0.0327416,0.0158802
8,22280,3,0,0,0,0
8,22280,4,0.804112,-0.593123,0.0348539,-0.0198544
8,22280,5,0.861693,-0.0772797,-0.493731,-0.0879939
8,22280,6,0.803011,-0.122162,0.57038,-0.122131
8,22280,7,0.804462,0.0164111,0.59053,-0.0620141
8,22280,8,0.819777,0.572621,-0.00839075,-0.000432393
8,22280,9,0.786915,0.102361,0.604224,-0.0721106
8,22280,10,-0.591363,-0.166153,0.788736,0.0240614
8,22280,11,-0.577329,-0.194069,0.785076,0.112624
8,22280,12,0.698254,-0.664609,0.184463,-0.191597
